age,workclass,education,maritalstatus,occupation,race,sex,hoursperweek,country,income
18-21,Private,Some-college,Never-married,Other-service,White,Female,16,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Black,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Transport-moving,White,Male,30,United-States,LessThan50K
18-21,Private,5th-6th,Married-civ-spouse,Other-service,White,Male,40,Mexico,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,35,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,45,United-States,LessThan50K**
18-21,State-gov,Some-college,Never-married,Tech-support,White,Male,10,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Male,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Separated,Other-service,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Male,40,?,LessThan50K
18-21,Private,HS-grad,Married-spouse-absent,Exec-managerial,White,Female,60,United-States,LessThan50K
18-21,Federal-gov,Some-college,Never-married,Tech-support,Black,Male,18-21,United-States,LessThan50K
18-21,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Protective-serv,Black,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,40,Peru,LessThan50K
18-21,?,Assoc-acdm,Never-married,?,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Female,35,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Tech-support,White,Male,35,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Male,40,Mexico,LessThan50K**
18-21,Self-emp-not-inc,Assoc-voc,Never-married,Farming-fishing,White,Male,98,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Adm-clerical,White,Male,18-21,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,White,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Protective-serv,White,Male,18-21,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,Asian-Pac-Islander,Female,10,United-States,LessThan50K**
22-30,Private,Some-college,Never-married,Adm-clerical,Black,Female,18-21,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Sales,White,Male,18-21,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Other-service,White,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Other-service,White,Male,15,United-States,Lessan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Male,40,United-States,LessThan50K
22-30,?,Assoc-acdm,Never-married,?,White,Female,5,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Other-service,White,Female,40,Germany,LessThan50K
22-30,Private,11th,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,White,Female,15,Germany,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,White,Female,50,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,White,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Machine-op-inspct,White,Male,48,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,White,Male,30,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Other-service,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-acdm,Never-married,Sales,White,Female,25,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Transport-moving,White,Male,18-21,United-States,LessThan50K
22-30,Private,10th,Never-married,Transport-moving,Asian-Pac-Islander,Male,30,United-States,LessThan50K
22-30,Self-emp-inc,HS-grad,Never-married,Machine-op-inspct,White,Male,24,United-States,LessThan50K
22-30,Private,Assoc-voc,Never-married,Other-service,White,Female,30,United-States,LessThan50K
22-30,?,Some-college,Never-married,?,White,Male,36,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,White,Female,40,United-States,LessThan50K
22-30,Private,11th,Never-married,Transport-moving,White,Male,65,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Adm-clerical,White,Female,55,United-States,LessThan50K
22-30,Local-gov,HS-grad,Never-married,Other-service,White,Female,53,United-States,LessThan50K
22-30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,60,United-States,LessThan50K
22-30,Private,5th-6th,Never-married,Farming-fishing,White,Male,40,Mexico,LessThan50K
22-30,Private,Bachelors,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K
22-30,Federal-gov,HS-grad,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Other-service,White,Female,30,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Other-service,White,Female,40,United-States,LessThan50K
22-30,?,Some-college,Never-married,?,White,Female,40,Italy,LessThan50K
22-30,Private,Assoc-voc,Never-married,Other-service,White,Female,12,United-States,LessThan50K
22-30,Private,11th,Never-married,Other-service,White,Female,30,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Tech-support,Asian-Pac-Islander,Female,32,United-States,LessThan50K**
22-30,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,40,United-States,LessThan50K
22-30,Private,11th,Married-civ-spouse,Adm-clerical,White,Female,18-21,United-States,LessThan50K
22-30,?,Some-college,Never-married,?,Asian-Pac-Islander,Male,40,China,LessThan50K**
22-30,Private,12th,Never-married,Protective-serv,Black,Male,35,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Other-service,Black,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Other-service,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Transport-moving,Black,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Adm-clerical,Black,Male,18-21,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,60,United-States,LessThan50K
22-30,Private,10th,Never-married,Craft-repair,White,Male,18-21,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,Black,Female,40,United-States,LessThan50K**
22-30,Private,Assoc-acdm,Never-married,Tech-support,White,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Farming-fishing,White,Male,35,United-States,LessThan50K
22-30,Private,12th,Never-married,Sales,White,Male,45,United-States,LessThan50K
22-30,State-gov,Some-college,Never-married,Protective-serv,Black,Male,30,United-States,LessThan50K
22-30,Private,HS-grad,Divorced,Protective-serv,Black,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,Other,Female,40,United-States,LessThan50K
22-30,?,Assoc-voc,Never-married,?,Black,Female,15,United-States,LessanTh50K
22-30,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,40,Mexico,LessThan50K
22-30,?,HS-grad,Never-married,?,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Other-service,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Adm-clerical,Asian-Pac-Islander,Female,40,Vietnam,LessThan50K
22-30,Never-worked,7th-8th,Divorced,?,White,Male,35,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-acdm,Never-married,Other-service,White,Female,18-21,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,LessThan50K**
22-30,Private,Some-college,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K**
22-30,Private,Bachelors,Never-married,Tech-support,Black,Female,45,United-States,LessThan50K**
22-30,Private,HS-grad,Never-married,Craft-repair,White,Male,30,United-States,LessThan50K
22-30,Private,Assoc-acdm,Never-married,Sales,White,Female,65,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,White,Female,36,United-States,LessThan50K
22-30,?,Some-college,Never-married,?,White,Female,32,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Sales,White,Female,35,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Adm-clerical,White,Male,30,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Other-service,Black,Male,30,United-States,LessThan50K
22-30,State-gov,Bachelors,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,16,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,White,Female,30,United-States,LessThan50K
22-30,Local-gov,Bachelors,Never-married,Prof-specialty,White,Female,37,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,Black,Male,18-21,United-States,LessThan50K
22-30,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,MoreThan50K
22-30,State-gov,Bachelors,Never-married,Prof-specialty,White,Male,18-21,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,42,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K**
22-30,Private,Some-college,Never-married,Adm-clerical,Black,Female,40,United-States,LessThan50K
22-30,Private,Masters,Never-married,Tech-support,Asian-Pac-Islander,Male,40,United-States,LessThan50K
22-30,?,9th,Married-civ-spouse,?,White,Male,10,Mexico,LessThan50K
22-30,Private,12th,Married-civ-spouse,Adm-clerical,White,Male,50,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,White,Male,24,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Sales,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,45,United-States,Less50anK
22-30,Private,Assoc-voc,Never-married,Tech-support,Black,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Tech-support,White,Female,18-21,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,60,Mexico,MoreThan50K
22-30,Private,11th,Never-married,Handlers-cleaners,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,50,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Transport-moving,Black,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Sales,White,Male,43,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,Black,Male,18-21,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Sales,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Farming-fishing,White,Male,98,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Transport-moving,White,Male,40,Mexico,LessThan50K
22-30,Private,HS-grad,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Sales,White,Male,50,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-inspct,Black,Male,45,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Transport-moving,Black,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Tech-support,White,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Sales,White,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,35,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,30,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Sales,White,Male,45,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Machine-op-inspct,White,Female,32,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Farming-fishing,White,Male,80,United-States,LessThan50K**
22-30,Private,HS-grad,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,White,Male,35,United-States,Lessan50K
22-30,Private,Some-college,Married-civ-spouse,Sales,White,Male,50,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,48,United-States,LessThan50K
22-30,Private,Assoc-voc,Never-married,Prof-specialty,White,Female,30,United-States,LessThan50K
22-30,Self-emp-inc,HS-grad,Never-married,Machine-op-inspct,White,Male,65,United-States,LessThan50K
22-30,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,White,Male,35,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,35,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Sales,Black,Male,45,United-States,LessThan50K
22-30,Private,10th,Married-civ-spouse,Craft-repair,White,Male,45,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Other-service,White,Female,25,Mexico,LessThan50K
22-30,Private,HS-grad,Never-married,Exec-managerial,White,Male,45,United-States,LessThan50K
22-30,Private,Assoc-voc,Married-civ-spouse,Sales,White,Female,42,United-States,MoreThan50K
22-30,?,Bachelors,Married-civ-spouse,?,White,Male,40,United-States,LessThan50K
22-30,State-gov,Some-college,Never-married,Handlers-cleaners,White,Male,40,United-States,LessThan50K
22-30,Private,1st-4th,Married-civ-spouse,Farming-fishing,White,Male,96,Mexico,LessThan50K
22-30,Local-gov,Some-college,Never-married,Adm-clerical,Black,Female,40,United-States,LessanTh50K
22-30,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,40,United-States,LessThan50K
22-30,Private,11th,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K**
22-30,Private,10th,Never-married,Farming-fishing,Amer-Indian-Eskimo,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Prof-specialty,White,Male,40,United-States,MoreThan50K
22-30,Private,Some-college,Never-married,Transport-moving,White,Male,50,United-States,MoreThan50K
22-30,Private,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,45,United-States,LessThan50K
22-30,Private,Assoc-acdm,Never-married,Craft-repair,White,Male,30,United-States,LessThan50K
22-30,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Female,30,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,White,Male,38,?,LessThan50K
22-30,Private,Masters,Never-married,Prof-specialty,White,Male,35,United-States,LessThan50K
22-30,Private,Masters,Never-married,Prof-specialty,White,Male,45,?,LessThan50K
22-30,Private,HS-grad,Never-married,Sales,White,Female,30,United-States,LessThan50K
22-30,Private,10th,Never-married,Transport-moving,White,Male,50,United-States,LessThan50K
22-30,Local-gov,Assoc-voc,Never-married,Protective-serv,White,Male,30,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Adm-clerical,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Prof-specialty,Black,Female,55,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Sales,White,Male,40,United-States,MoreThan50K
22-30,?,11th,Never-married,?,White,Male,40,United-States,LessThan50K
22-30,State-gov,Some-college,Married-civ-spouse,Protective-serv,Black,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Other-service,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Other-service,White,Female,18-21,United-States,LessThan50K**
22-30,Private,Bachelors,Never-married,Exec-managerial,White,Female,40,United-States,LessThan50K
22-30,Private,11th,Never-married,Sales,White,Male,45,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,White,Male,60,United-States,LessThan50K
22-30,Local-gov,11th,Married-civ-spouse,Other-service,White,Male,50,United-States,LessThan50K
22-30,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,60,Columbia,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,LessThan50K
22-30,Private,9th,Married-civ-spouse,Craft-repair,White,Male,35,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,White,Male,50,United-States,MoreThan50K**
22-30,Private,HS-grad,Separated,Tech-support,White,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,White,Male,70,United-States,LessThan50K
22-30,Private,Masters,Never-married,Exec-managerial,White,Male,32,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Sales,White,Female,40,United-States,LessThan50K
22-30,Local-gov,Masters,Never-married,Prof-specialty,White,Male,50,United-States,LessThan50K
22-30,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,White,Female,75,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Black,Male,50,?,LessThan50K
22-30,Private,HS-grad,Never-married,Transport-moving,White,Male,50,United-States,LessThan50K
22-30,Private,Assoc-voc,Divorced,Prof-specialty,White,Female,36,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,50,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Sales,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K
22-30,Private,Masters,Married-civ-spouse,Machine-op-inspct,White,Male,18-21,Canada,LessThan50K
22-30,Self-emp-inc,12th,Married-civ-spouse,Sales,Other,Male,98,Dominican-Republic,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,48,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,45,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Farming-fishing,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Other-service,Black,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Sales,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Black,Male,60,United-States,MoreThan50K
22-30,Private,Masters,Never-married,Sales,White,Male,42,Mexico,LessThan50K
22-30,Self-emp-inc,12th,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,MoreThan50K
22-30,Federal-gov,Some-college,Divorced,Adm-clerical,Black,Female,50,United-States,LessThan50K
22-30,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,White,Male,70,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Separated,Craft-repair,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Craft-repair,White,Male,50,United-States,LessThan50K
22-30,Private,Prof-school,Never-married,Prof-specialty,White,Female,40,United-States,LessThan50K
22-30,Local-gov,Assoc-voc,Never-married,Exec-managerial,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Other-service,Black,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Tech-support,Black,Female,40,United-States,LessThan50K
22-30,Private,Masters,Never-married,Sales,White,Male,40,United-States,Lessan50K
22-30,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,40,United-States,LessThan50K
22-30,Local-gov,Some-college,Married-civ-spouse,Protective-serv,White,Male,60,United-States,LessThan50K
22-30,?,HS-grad,Married-civ-spouse,?,White,Female,40,United-States,MoreThan50K
22-30,Private,Some-college,Never-married,Machine-op-inspct,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,45,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-inspct,Black,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,45,United-States,LessThan50K
22-30,Private,Assoc-voc,Never-married,Prof-specialty,White,Female,36,Canada,LessThan50K
22-30,Private,9th,Married-civ-spouse,Craft-repair,White,Male,32,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,40,United-States,LessThan50K
22-30,Private,11th,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K
22-30,Self-emp-inc,Some-college,Separated,Sales,White,Female,40,United-States,LessThan50K
22-30,Private,Masters,Never-married,Prof-specialty,White,Female,45,United-States,LessThan50K
22-30,Private,Assoc-acdm,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Sales,White,Female,40,United-States,LessThan50K
22-30,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,38,United-States,LessThan50K
22-30,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,45,Mexico,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,LessThan50K
22-30,?,Bachelors,Never-married,?,Asian-Pac-Islander,Male,30,?,LessThan50K
22-30,State-gov,Bachelors,Married-civ-spouse,Protective-serv,White,Male,50,United-States,MoreThan50K
22-30,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,White,Male,50,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,50,United-States,LessThan50K
22-30,?,11th,Never-married,?,White,Male,40,Outlying-US(Guam-USVI-etc),LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,White,Male,44,United-States,LessThan50K
22-30,Private,HS-grad,Separated,Other-service,Black,Female,18-21,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,Black,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Separated,Adm-clerical,White,Male,40,United-States,LessanTh50K**
22-30,Private,Bachelors,Married-civ-spouse,Sales,White,Male,40,United-States,MoreThan50K
22-30,State-gov,HS-grad,Separated,Other-service,White,Female,11,United-States,LessanTh50K
22-30,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,MoreThan50K
22-30,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,50,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,White,Female,45,Japan,LessThan50K
22-30,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,18-21,United-States,Lessan50K
22-30,Private,Bachelors,Married-civ-spouse,Other-service,Black,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Divorced,Machine-op-inspct,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,White,Female,16,United-States,MoreThan50K
22-30,Private,HS-grad,Never-married,Other-service,Black,Female,52,United-States,LessThan50K
22-30,Private,Assoc-voc,Never-married,Handlers-cleaners,White,Female,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Adm-clerical,White,Male,18-21,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Machine-op-inspct,White,Male,40,United-States,LessThan50K
22-30,Private,Prof-school,Never-married,Prof-specialty,White,Male,60,United-States,Lessan50K
22-30,Local-gov,Bachelors,Never-married,Prof-specialty,White,Male,50,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,43,United-States,LessThan50K
22-30,Private,12th,Never-married,Sales,Black,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,LessThan50K
22-30,Local-gov,Masters,Never-married,Prof-specialty,White,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Transport-moving,White,Male,50,United-States,LessThan50K
22-30,Private,9th,Never-married,Handlers-cleaners,Black,Female,24,United-States,LessThan50K
22-30,?,Bachelors,Never-married,?,White,Male,8,United-States,LessThan50K
22-30,Private,7th-8th,Married-civ-spouse,Sales,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,50,United-States,MoreThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,50,United-States,LessThan50K
22-30,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,White,Male,40,United-States,LessThan50K
22-30,Local-gov,Bachelors,Divorced,Prof-specialty,White,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Handlers-cleaners,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Divorced,Transport-moving,White,Male,70,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,MoreThan50K**
22-30,Private,11th,Divorced,Other-service,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,70,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,MoreThan50K
22-30,Private,10th,Married-civ-spouse,Craft-repair,White,Male,25,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,40,United-States,MoreThan50K**
22-30,Private,HS-grad,Married-spouse-absent,Transport-moving,Black,Male,49,Haiti,LessThan50K**
22-30,Private,Some-college,Never-married,Other-service,White,Female,40,United-States,LessThan50K
22-30,State-gov,HS-grad,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K
22-30,?,HS-grad,Never-married,?,Black,Male,40,United-States,LessThan50K
22-30,?,Bachelors,Married-spouse-absent,?,White,Female,4,India,LessThan50K
22-30,?,HS-grad,Married-civ-spouse,?,White,Male,40,Dominican-Republic,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Divorced,Sales,White,Male,34,United-States,LessThan50K
22-30,Local-gov,HS-grad,Never-married,Transport-moving,White,Female,40,United-States,LessThan50K**
22-30,Private,HS-grad,Divorced,Adm-clerical,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Divorced,Machine-op-inspct,White,Male,50,United-States,LessThan50K
22-30,Private,Assoc-voc,Never-married,Tech-support,Black,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Handlers-cleaners,White,Male,36,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Protective-serv,Black,Male,40,United-States,LessThan50K
